AIRLINE,ORIGIN,DEST
Alaska Airlines Inc.,ATL,CHS
Alaska Airlines Inc.,ATL,SEA
Alaska Airlines Inc.,BOS,LAX
Alaska Airlines Inc.,BOS,PDX
Alaska Airlines Inc.,BOS,SAN
Alaska Airlines Inc.,BOS,SEA
Alaska Airlines Inc.,BOS,SFO
Alaska Airlines Inc.,BWI,LAX
Alaska Airlines Inc.,BWI,PDX
Alaska Airlines Inc.,BWI,PIT
Alaska Airlines Inc.,BWI,SAN
Alaska Airlines Inc.,BWI,SEA
Alaska Airlines Inc.,BWI,SFO
Alaska Airlines Inc.,DCA,LAX
Alaska Airlines Inc.,DCA,PDX
Alaska Airlines Inc.,DCA,SEA
Alaska Airlines Inc.,DCA,SFO
Alaska Airlines Inc.,DEN,ANC
Alaska Airlines Inc.,DEN,PDX
Alaska Airlines Inc.,DEN,SEA
Alaska Airlines Inc.,DFW,IAH
Alaska Airlines Inc.,DFW,PDX
Alaska Airlines Inc.,DFW,SEA
Alaska Airlines Inc.,DTW,SEA
Alaska Airlines Inc.,EWR,LAX
Alaska Airlines Inc.,EWR,PDX
Alaska Airlines Inc.,EWR,SAN
Alaska Airlines Inc.,EWR,SEA
Alaska Airlines Inc.,EWR,SFO
Alaska Airlines Inc.,EWR,SJC
Alaska Airlines Inc.,FLL,LAX
Alaska Airlines Inc.,FLL,PDX
Alaska Airlines Inc.,FLL,SAN
Alaska Airlines Inc.,FLL,SEA
Alaska Airlines Inc.,FLL,SFO
Alaska Airlines Inc.,HNL,ANC
Alaska Airlines Inc.,HNL,LAX
Alaska Airlines Inc.,HNL,OAK
Alaska Airlines Inc.,HNL,PDX
Alaska Airlines Inc.,HNL,SAN
Alaska Airlines Inc.,HNL,SEA
Alaska Airlines Inc.,HNL,SFO
Alaska Airlines Inc.,HNL,SJC
Alaska Airlines Inc.,IAD,LAX
Alaska Airlines Inc.,IAD,SAN
Alaska Airlines Inc.,IAD,SEA
Alaska Airlines Inc.,IAD,SFO
Alaska Airlines Inc.,IAH,DFW
Alaska Airlines Inc.,IAH,SEA
Alaska Airlines Inc.,JFK,LAS
Alaska Airlines Inc.,JFK,LAX
Alaska Airlines Inc.,JFK,PDX
Alaska Airlines Inc.,JFK,SAN
Alaska Airlines Inc.,JFK,SEA
Alaska Airlines Inc.,JFK,SFO
Alaska Airlines Inc.,JFK,SJC
Alaska Airlines Inc.,LAS,ANC
Alaska Airlines Inc.,LAS,BOI
Alaska Airlines Inc.,LAS,JFK
Alaska Airlines Inc.,LAS,LAX
Alaska Airlines Inc.,LAS,PAE
Alaska Airlines Inc.,LAS,PDX
Alaska Airlines Inc.,LAS,SEA
Alaska Airlines Inc.,LAS,SFO
Alaska Airlines Inc.,LAS,SJC
Alaska Airlines Inc.,LAX,ANC
Alaska Airlines Inc.,LAX,AUS
Alaska Airlines Inc.,LAX,BOI
Alaska Airlines Inc.,LAX,BOS
Alaska Airlines Inc.,LAX,BWI
Alaska Airlines Inc.,LAX,DAL
Alaska Airlines Inc.,LAX,DCA
Alaska Airlines Inc.,LAX,EUG
Alaska Airlines Inc.,LAX,EWR
Alaska Airlines Inc.,LAX,FLL
Alaska Airlines Inc.,LAX,GEG
Alaska Airlines Inc.,LAX,HNL
Alaska Airlines Inc.,LAX,IAD
Alaska Airlines Inc.,LAX,JFK
Alaska Airlines Inc.,LAX,KOA
Alaska Airlines Inc.,LAX,LAS
Alaska Airlines Inc.,LAX,LIH
Alaska Airlines Inc.,LAX,OGG
Alaska Airlines Inc.,LAX,ORD
Alaska Airlines Inc.,LAX,PDX
Alaska Airlines Inc.,LAX,PHL
Alaska Airlines Inc.,LAX,RDM
Alaska Airlines Inc.,LAX,RSW
Alaska Airlines Inc.,LAX,SEA
Alaska Airlines Inc.,LAX,SFO
Alaska Airlines Inc.,LAX,SJC
Alaska Airlines Inc.,LAX,TPA
Alaska Airlines Inc.,MCO,PDX
Alaska Airlines Inc.,MCO,SAN
Alaska Airlines Inc.,MCO,SEA
Alaska Airlines Inc.,MCO,SFO
Alaska Airlines Inc.,MIA,SEA
Alaska Airlines Inc.,MSP,ANC
Alaska Airlines Inc.,MSP,CMH
Alaska Airlines Inc.,MSP,PDX
Alaska Airlines Inc.,MSP,SAN
Alaska Airlines Inc.,MSP,SEA
Alaska Airlines Inc.,ORD,ANC
Alaska Airlines Inc.,ORD,LAX
Alaska Airlines Inc.,ORD,PDX
Alaska Airlines Inc.,ORD,SEA
Alaska Airlines Inc.,ORD,SFO
Alaska Airlines Inc.,PDX,ABQ
Alaska Airlines Inc.,PDX,ANC
Alaska Airlines Inc.,PDX,AUS
Alaska Airlines Inc.,PDX,BOI
Alaska Airlines Inc.,PDX,BOS
Alaska Airlines Inc.,PDX,BUR
Alaska Airlines Inc.,PDX,BWI
Alaska Airlines Inc.,PDX,DCA
Alaska Airlines Inc.,PDX,DEN
Alaska Airlines Inc.,PDX,DFW
Alaska Airlines Inc.,PDX,EWR
Alaska Airlines Inc.,PDX,FLL
Alaska Airlines Inc.,PDX,GEG
Alaska Airlines Inc.,PDX,HNL
Alaska Airlines Inc.,PDX,JFK
Alaska Airlines Inc.,PDX,KOA
Alaska Airlines Inc.,PDX,LAS
Alaska Airlines Inc.,PDX,LAX
Alaska Airlines Inc.,PDX,LIH
Alaska Airlines Inc.,PDX,MCO
Alaska Airlines Inc.,PDX,MSP
Alaska Airlines Inc.,PDX,OAK
Alaska Airlines Inc.,PDX,OGG
Alaska Airlines Inc.,PDX,ONT
Alaska Airlines Inc.,PDX,ORD
Alaska Airlines Inc.,PDX,PHL
Alaska Airlines Inc.,PDX,PHX
Alaska Airlines Inc.,PDX,PSP
Alaska Airlines Inc.,PDX,RNO
Alaska Airlines Inc.,PDX,SAN
Alaska Airlines Inc.,PDX,SEA
Alaska Airlines Inc.,PDX,SFO
Alaska Airlines Inc.,PDX,SJC
Alaska Airlines Inc.,PDX,SLC
Alaska Airlines Inc.,PDX,SMF
Alaska Airlines Inc.,PDX,SNA
Alaska Airlines Inc.,PDX,TPA
Alaska Airlines Inc.,PDX,TUS
Alaska Airlines Inc.,PHL,LAX
Alaska Airlines Inc.,PHL,PDX
Alaska Airlines Inc.,PHL,SEA
Alaska Airlines Inc.,PHL,SFO
Alaska Airlines Inc.,PHX,ANC
Alaska Airlines Inc.,PHX,BOI
Alaska Airlines Inc.,PHX,PAE
Alaska Airlines Inc.,PHX,PDX
Alaska Airlines Inc.,PHX,SEA
Alaska Airlines Inc.,PHX,SFO
Alaska Airlines Inc.,SAN,AUS
Alaska Airlines Inc.,SAN,BOI
Alaska Airlines Inc.,SAN,BOS
Alaska Airlines Inc.,SAN,BWI
Alaska Airlines Inc.,SAN,EWR
Alaska Airlines Inc.,SAN,FAT
Alaska Airlines Inc.,SAN,FLL
Alaska Airlines Inc.,SAN,GEG
Alaska Airlines Inc.,SAN,HNL
Alaska Airlines Inc.,SAN,IAD
Alaska Airlines Inc.,SAN,JFK
Alaska Airlines Inc.,SAN,KOA
Alaska Airlines Inc.,SAN,LIH
Alaska Airlines Inc.,SAN,MCO
Alaska Airlines Inc.,SAN,MSP
Alaska Airlines Inc.,SAN,OGG
Alaska Airlines Inc.,SAN,PDX
Alaska Airlines Inc.,SAN,SEA
Alaska Airlines Inc.,SAN,SFO
Alaska Airlines Inc.,SAN,SJC
Alaska Airlines Inc.,SAN,SMF
Alaska Airlines Inc.,SAN,STS
Alaska Airlines Inc.,SEA,ABQ
Alaska Airlines Inc.,SEA,ANC
Alaska Airlines Inc.,SEA,ATL
Alaska Airlines Inc.,SEA,AUS
Alaska Airlines Inc.,SEA,BLI
Alaska Airlines Inc.,SEA,BNA
Alaska Airlines Inc.,SEA,BOI
Alaska Airlines Inc.,SEA,BOS
Alaska Airlines Inc.,SEA,BUR
Alaska Airlines Inc.,SEA,BWI
Alaska Airlines Inc.,SEA,BZN
Alaska Airlines Inc.,SEA,CHS
Alaska Airlines Inc.,SEA,CLE
Alaska Airlines Inc.,SEA,CMH
Alaska Airlines Inc.,SEA,CVG
Alaska Airlines Inc.,SEA,DAL
Alaska Airlines Inc.,SEA,DCA
Alaska Airlines Inc.,SEA,DEN
Alaska Airlines Inc.,SEA,DFW
Alaska Airlines Inc.,SEA,DTW
Alaska Airlines Inc.,SEA,ELP
Alaska Airlines Inc.,SEA,EUG
Alaska Airlines Inc.,SEA,EWR
Alaska Airlines Inc.,SEA,FAI
Alaska Airlines Inc.,SEA,FAT
Alaska Airlines Inc.,SEA,FLL
Alaska Airlines Inc.,SEA,GEG
Alaska Airlines Inc.,SEA,HNL
Alaska Airlines Inc.,SEA,IAD
Alaska Airlines Inc.,SEA,IAH
Alaska Airlines Inc.,SEA,IND
Alaska Airlines Inc.,SEA,JAC
Alaska Airlines Inc.,SEA,JFK
Alaska Airlines Inc.,SEA,JNU
Alaska Airlines Inc.,SEA,KOA
Alaska Airlines Inc.,SEA,KTN
Alaska Airlines Inc.,SEA,LAS
Alaska Airlines Inc.,SEA,LAX
Alaska Airlines Inc.,SEA,LIH
Alaska Airlines Inc.,SEA,MCI
Alaska Airlines Inc.,SEA,MCO
Alaska Airlines Inc.,SEA,MIA
Alaska Airlines Inc.,SEA,MKE
Alaska Airlines Inc.,SEA,MSP
Alaska Airlines Inc.,SEA,MSY
Alaska Airlines Inc.,SEA,OAK
Alaska Airlines Inc.,SEA,OGG
Alaska Airlines Inc.,SEA,OKC
Alaska Airlines Inc.,SEA,OMA
Alaska Airlines Inc.,SEA,ONT
Alaska Airlines Inc.,SEA,ORD
Alaska Airlines Inc.,SEA,PDX
Alaska Airlines Inc.,SEA,PHL
Alaska Airlines Inc.,SEA,PHX
Alaska Airlines Inc.,SEA,PIT
Alaska Airlines Inc.,SEA,PSC
Alaska Airlines Inc.,SEA,PSP
Alaska Airlines Inc.,SEA,RDM
