ORIGIN,Month,temp_min,temp_max,temp_mean,prcp_max,wspd_max,wspd_mean,Is_Snowing_max
ATL,1,-6.1,25.0,7.4545840407470285,8.9,40.7,9.323503820033956,0
ATL,2,-5.6,27.2,10.043433166297634,16.8,40.7,9.456193916792916,0
ATL,3,-5.0,30.0,13.54206278909556,16.0,38.9,9.809693927763016,0
ATL,4,-1.1,30.0,16.49258863986719,30.2,40.7,9.558259219732006,0
ATL,5,3.3,34.4,21.44629328375552,18.0,46.4,8.803323262839879,0
ATL,6,12.2,36.7,24.357926970187197,34.0,38.9,7.54652183961174,0
ATL,7,15.6,36.1,26.595964316057774,24.6,27.7,6.527410790144435,0
ATL,8,16.1,36.7,26.142801155115514,18.0,37.1,6.512520627062706,0
ATL,9,7.2,36.7,23.33745870044053,19.3,37.1,7.326307819383261,0
ATL,10,0.0,36.1,17.841704454521206,25.7,35.3,7.467671379034409,0
ATL,11,-5.6,27.8,11.217275432900434,9.4,37.1,8.340286796536796,0
ATL,12,-13.3,25.0,9.077613959150549,17.8,40.7,8.768470174489382,0
BOS,1,-15.6,22.8,0.6021954887218045,6.1,61.2,18.99184962406015,1
BOS,2,-22.8,19.4,1.2412451361867705,4.3,66.6,17.971173800259404,1
BOS,3,-10.6,22.2,4.597168803418803,6.1,61.2,19.53824786324786,1
BOS,4,-1.1,29.4,9.549253257070225,13.0,59.4,19.547187797902765,0
BOS,5,2.2,33.3,14.595823964021845,5.3,46.4,17.472373915836812,0
BOS,6,8.3,36.7,19.737562189054728,13.2,38.9,14.915329601990049,0
BOS,7,14.4,36.7,24.057770075101097,21.8,38.9,14.901935297515887,0
BOS,8,13.9,36.7,22.98482857142857,16.5,55.4,14.773342857142856,0
BOS,9,6.7,33.3,19.273904302372333,17.3,48.2,15.953357458785685,0
BOS,10,-1.7,26.7,13.955767077267637,11.9,77.8,17.270250093318403,1
BOS,11,-6.1,24.4,7.341534489118407,10.7,55.4,17.833898930284025,0
BOS,12,-11.7,17.2,3.0227341964965726,8.9,63.0,19.135453160700685,1
BWI,1,-14.4,21.7,3.381927194860814,11.4,46.4,12.117901498929335,1
BWI,2,-12.8,25.6,4.8184925093632955,6.6,57.6,11.731507490636703,1
BWI,3,-7.2,27.8,8.775671406003159,11.7,48.2,13.11891785150079,1
BWI,4,-1.1,31.1,14.116487603305785,13.2,61.2,13.583140495867767,0
BWI,5,2.8,35.0,18.712640207075065,8.4,40.7,11.167213114754098,0
BWI,6,8.9,36.7,23.486954732510288,20.8,42.5,10.817736625514403,0
BWI,7,16.1,37.8,27.012926189584114,45.0,38.9,8.504233795429,0
BWI,8,15.0,37.2,25.659776119402984,23.6,35.3,8.803470149253732,0
BWI,9,6.1,36.1,21.84498448810755,15.5,35.3,9.361427094105482,0
BWI,10,2.2,35.6,16.04534942182001,18.3,44.6,10.207993966817497,0
BWI,11,-6.1,26.1,8.808316008316009,9.9,46.4,10.523492723492724,0
BWI,12,-13.9,20.6,4.6989484752891695,7.1,51.8,9.882965299684543,1
CLT,1,-7.2,24.4,7.313273715588287,10.9,44.6,10.656180957390847,1
CLT,2,-4.4,26.1,9.701331789229878,10.9,50.0,11.79689249179695,0
CLT,3,-6.1,30.0,13.310578809679528,17.8,40.7,12.67305428384565,0
CLT,4,-2.2,30.0,16.905305971528932,25.9,50.0,12.290035126640785,0
CLT,5,4.4,35.0,21.383690744920994,17.3,37.1,11.818115124153499,0
CLT,6,11.1,38.3,24.884559226136155,33.0,35.3,10.479175031940136,0
CLT,7,15.0,36.1,27.285074883801,50.5,40.7,9.001101738681356,0
CLT,8,15.6,36.1,26.25827859188142,31.5,46.4,8.356223681994273,0
CLT,9,6.7,36.7,23.48148884470952,30.7,46.4,9.966777115087254,0
CLT,10,0.0,36.1,18.552791563275434,9.9,55.4,9.855583126550869,0
CLT,11,-5.0,27.8,11.407106710671068,35.6,38.9,9.914125412541253,0
CLT,12,-12.8,25.0,8.530935579330754,7.6,40.7,9.759572046437516,0
DCA,1,-12.2,21.1,3.960713224368499,7.4,55.4,14.469509658246658,1
DCA,2,-8.3,27.2,5.881781502172563,10.2,53.6,13.910986964618248,1
DCA,3,-5.6,28.3,9.233509749303622,12.2,53.6,15.43091922005571,0
DCA,4,-0.6,30.0,14.751808375634516,9.7,50.0,14.49295685279188,0
